Date,Home,Visitor,PitcherH,PitcherV,FinalH,FinalV,OpenH,OpenV,CloseH,CloseV,H538,V538
417,SEA,HOU,AMIRANDA-L,LMCCULLERSJR.-R,1,4,150,-170,177,-202,0.47,0.53
417,NYY,MIA,MTANAKA-R,JGARCIA-L,1,9,-275,240,-345,300,0.71,0.29
417,TOR,KC,JGARCIA-L,ESKOGLUND-L,11,3,-210,185,-215,190,0.59,0.33
418,PIT,COL,CKUHL-R,KFREELAND-L,10,2,-122,112,-123,113,0.53,0.47
418,MIL,CIN,ZDAVIES-R,TMAHLE-R,2,0,-155,140,-139,124,0.61,0.39
418,NYM,WSH,SMATZ-L,TROARK-R,11,5,102,-112,-109,-101,0.49,0.51
418,ATL,PHI,BMCCARTHY-R,VVELASQUEZ-R,7,3,-117,107,-123,113,0.54,0.46
418,ARI,SF,RRAY-L,CSTRATTON-R,3,4,-156,141,-167,147,0.61,0.39
418,SD,LAD,LPERDOMO-R,KMAEDA-R,4,13,143,-163,145,-165,0.39,0.61
418,TB,TEX,JFARIA-R,CHAMELS-L,4,2,-124,114,117,-132,0.48,0.52
418,OAK,CHW,ATRIGGS-R,CFULMER-R,12,11,-210,185,-205,180,0.61,0.39
418,TOR,KC,JHAPP-L,IKENNEDY-R,15,5,-184,164,-197,177,0.67,0.33
418,DET,BAL,MBOYD-L,KGAUSMAN-R,6,5,104,-114,111,-121,0.5,0.5
418,MIN,CLE,JBERRIOS-R,CCARRASCO-R,2,1,119,-134,106,-116,0.41,0.59
418,LAA,BOS,TSKAGGS-L,RPORCELLO-R,0,9,-124,114,-101,-109,0.5,0.5
418,SEA,HOU,MLEAKE-R,GCOLE-R,1,7,146,-166,160,-180,0.45,0.55
419,PHI,PIT,JARRIETA-R,JTAILLON-R,7,0,-110,100,107,-117,0.52,0.48
419,ATL,NYM,MWISLER-R,MHARVEY-R,12,4,-103,-107,-105,-105,0.54,0.46
419,MIL,MIA,CANDERSON-R,DPETERS-L,12,3,-220,195,-187,167,0.67,0.33
419,ARI,SF,ZGREINKE-R,TBLACH-L,3,1,-165,145,-173,153,0.64,0.36
419,DET,BAL,JZIMMERMANN-R,ACOBB-R,13,8,109,-119,101,-111,0.48,0.52
419,SEA,HOU,MGONZALES-L,CMORTON-R,2,9,165,-185,165,-185,0.4,0.6
419,NYY,TOR,CSABATHIA-L,ASANCHEZ-R,4,3,-140,125,-160,140,0.57,0.43
419,LAA,BOS,NTROPEANO-R,ERODRIGUEZ-L,2,8,102,-112,101,-111,0.47,0.53
419,CHC,STL,JLESTER-L,LWEAVER-R,8,5,101,-111,-123,113,0.55,0.45
420,PHI,PIT,BLIVELY-R,INOVA-R,2,1,-115,105,-106,-104,0.52,0.48
420,ATL,NYM,SNEWCOMB-L,NSYNDERGAARD-R,3,5,140,-160,125,-140,0.47,0.53
420,MIL,MIA,JCHACIN-R,TRICHARDS-R,8,0,-165,145,-163,143,0.61,0.39
